Index Name,Date,Open,High,Low,Close,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
NIFTY BANK,01-Jan-21,31297.3,31384.35,31188.25,31225.85,01-Jan-21,21.095,21.3325,19.2625,19.56,21.095,-1.54,-7.28
NIFTY BANK,04-Jan-21,31485.15,31489.6,30893.65,31212.45,04-Jan-21,19.56,21.0275,19.335,20.03,19.56,0.47,2.4
NIFTY BANK,05-Jan-21,31041.1,31767.65,30935.55,31722.25,05-Jan-21,20.03,21.005,20.03,20.46,20.03,0.43,2.15
NIFTY BANK,06-Jan-21,31839.95,31982.3,31548.15,31797.9,06-Jan-21,20.46,21.63,20.425,20.995,20.46,0.54,2.61
NIFTY BANK,07-Jan-21,32129.8,32177.4,31911.5,31956,07-Jan-21,20.995,20.995,20.1375,20.615,20.995,-0.38,-1.81
NIFTY BANK,08-Jan-21,32298.05,32298.05,32002.95,32084.2,08-Jan-21,20.615,20.85,17.38,20.64,20.615,0.03,0.12
NIFTY BANK,11-Jan-21,32280.3,32288.45,31836.95,31998.9,11-Jan-21,20.64,22.745,20.64,22.3825,20.64,1.74,8.44
NIFTY BANK,12-Jan-21,31835.05,32397.95,31725.85,32339,12-Jan-21,22.3825,23.26,22.2925,22.8475,22.3825,0.46,2.08
NIFTY BANK,13-Jan-21,32546.6,32683.5,32148.25,32574.65,13-Jan-21,22.8475,24.0475,22.37,23.2925,22.8475,0.45,1.95
NIFTY BANK,14-Jan-21,32526.7,32718.95,32442.35,32519.75,14-Jan-21,23.2925,23.7025,22.8075,23.0275,23.2925,-0.27,-1.14
NIFTY BANK,15-Jan-21,32508.9,32544.8,32044.35,32246.8,15-Jan-21,23.0275,24.6775,23.0275,24.01,23.0275,0.98,4.27
NIFTY BANK,18-Jan-21,32275.15,32441.5,31650.9,31811.75,18-Jan-21,24.01,25.4125,23.5675,24.395,24.01,0.38,1.6
NIFTY BANK,19-Jan-21,32082.9,32464.95,31863.95,32424.85,19-Jan-21,24.395,24.395,20.36,22.8975,24.395,-1.5,-6.14
NIFTY BANK,20-Jan-21,32388.95,32607.45,32322.9,32543.7,20-Jan-21,22.8975,23.185,19.33,21.55,22.8975,-1.35,-5.88
NIFTY BANK,21-Jan-21,32732.8,32842.3,31985.55,32186.9,21-Jan-21,21.55,22.7775,18.6175,22.18,21.55,0.63,2.92
NIFTY BANK,22-Jan-21,32088,32131.4,31119.9,31167.25,22-Jan-21,22.18,23.04,18.73,22.4225,22.18,0.24,1.09
NIFTY BANK,25-Jan-21,31507.15,31697.55,31013.65,31198.4,25-Jan-21,22.4225,23.81,20.3375,23.245,22.4225,0.82,3.67
NIFTY BANK,27-Jan-21,31236.25,31287.05,30165.65,30284.55,27-Jan-21,23.245,24.7475,20.83,24.3925,23.245,1.15,4.94
NIFTY BANK,28-Jan-21,29812.3,30464.4,29687.7,30358.3,28-Jan-21,24.3925,25.295,23.435,24.29,24.3925,-0.1,-0.42
NIFTY BANK,29-Jan-21,30700.65,31111.95,30254.55,30565.5,29-Jan-21,24.29,25.99,22.08,25.3425,24.29,1.05,4.33
NIFTY BANK,01-Feb-21,30976.35,33305.3,30906.45,33089.05,01-Feb-21,25.3425,25.925,22.6,23.3225,25.3425,-2.02,-7.97
NIFTY BANK,02-Feb-21,33589.05,34652.5,33583.15,34267.9,02-Feb-21,23.3225,23.61,21.0025,23.345,23.3225,0.02,0.1
NIFTY BANK,03-Feb-21,34555.6,34908.05,34011.9,34758.45,03-Feb-21,23.345,24.1975,20.9475,23.745,23.345,0.4,1.71
NIFTY BANK,04-Feb-21,34548.9,35413.15,34238.9,35344.8,04-Feb-21,23.745,23.9325,22.09,23.1225,23.745,-0.62,-2.62
NIFTY BANK,05-Feb-21,35634.95,36615.2,35545,35654.5,05-Feb-21,23.1225,23.935,20.08,23.415,23.1225,0.29,1.27
NIFTY BANK,08-Feb-21,36073.85,36466.45,35872.25,35983.65,08-Feb-21,23.415,24.345,22.1775,23.9575,23.415,0.54,2.32
NIFTY BANK,09-Feb-21,36058.8,36477.15,35636.85,36056.5,09-Feb-21,23.9575,24.4675,21.4325,24.27,23.9575,0.31,1.3
NIFTY BANK,10-Feb-21,36042.35,36227.2,35428.15,35783.1,10-Feb-21,24.27,24.955,20.9075,23.9525,24.27,-0.32,-1.31
